,Username,Note,Hotel_Name
1262,andrewtC7769MU,5.0,"Mr.Kinjo Miyako Island, Miyakojima, Japon"
1265,patounetbello,4.0,"Daiwa Roynet Hotel Kyoto Ekimae, Kyoto, Japon"
1266,patounetbello,4.0,"Hotel Obana, Nara, Japon"
1267,patounetbello,5.0,"Cross Hotel Kyoto, Kyoto, Japon"
1268,patounetbello,1.0,"Ise Pearl Pier Hotel, Ise, Japon"
1305,extr3me_84,3.0,"ANA Crowne Plaza Kobe, Kobé, Japon"
1306,extr3me_84,2.0,"Toyoko Inn Tokyo Asakusa Senzoku Tsukuba Express, Taito, Japon"
1314,Milocc,5.0,"Cerulean Tower Tokyu Hotel, Shibuya, Japon"
1315,Milocc,4.0,"Hotel Ryumeikan Tokyo, Yaesu, Japon"
1361,FinT77,4.0,"Hotel Okura Fukuoka, Hakata, Japon"
1362,FinT77,5.0,"Hotel Okura JR Huis Ten Bosch, Sasebo, Japon"
1363,FinT77,4.0,"Hotel Forza Nagasaki, Nagasaki, Japon"
1364,FinT77,5.0,"Yufuin Hanayoshi, Yufu, Japon"
1365,FinT77,5.0,"Bettei Soan, Minamiaso-mura, Japon"
1366,FinT77,4.0,"ANA Crowne Plaza Kumamoto New Sky, Kumamoto, Japon"
1367,FinT77,4.0,"Solaria Nishitetsu hotel Kagoshima, Kagoshima, Japon"
1382,Stephan1954,5.0,"ANA Crowne Plaza Fukuoka, Hakataekimae, Japon"
1450,333lovetotravel888,4.0,"Hotel Sunroute Plaza Shinjuku, Yoyogi, Japon"
1451,333lovetotravel888,4.0,"Fuji Ginkei, Fujikawaguchiko-machi, Japon"
1511,AnuvatC,5.0,"APA Hotel Kyoto Ekihigashi, Kyoto, Japon"
1512,AnuvatC,5.0,"Takayama Ouan, Takayama, Japon"
1545,kirstine2013,3.0,"Hotel Wing International Shin-Osaka, Osaka, Japon"
1553,falconut,4.0,"Hotel Sunroute Plaza Shinjuku, Yoyogi, Japon"
1570,denniessiongco,4.0,"Namba Oriental Hotel, Sennichimae, Japon"
1593,TokyoVisitor,5.0,"The Gate Hotel Tokyo by Hulic, Yurakucho, Japon"
1637,DAVE_and_ADRIENNE,5.0,"Courtyard by Marriott Shin-Osaka Station, Osaka, Japon"
1638,DAVE_and_ADRIENNE,5.0,"Hotel Ichii, Kusatsu-machi, Japon"
1639,DAVE_and_ADRIENNE,4.0,"Hotel Grobal View Niigata, Niigata, Japon"
1640,DAVE_and_ADRIENNE,5.0,"Hotel Metropolitan Akita, Akita, Japon"
1641,DAVE_and_ADRIENNE,4.0,"Shingu Central Hotel, Shingu, Japon"
1642,DAVE_and_ADRIENNE,5.0,"Sheraton Grande Tokyo Bay Hotel, Maihama, Japon"
1687,sanyALGER,4.0,"HOTEL MYSTAYS Fukuoka Tennjin Minami, Chuo, Japon"
1703,Marshaici,4.0,"Hotel Sunroute Plaza Shinjuku, Yoyogi, Japon"
1735,Southcityca,4.0,"Best Western Plus Hotel Fino Chitose, Chitose, Japon"
1751,i0kan,3.0,"Matsumoto Hotel Kagetsu, Matsumoto, Japon"
1752,i0kan,4.0,"Dormy Inn Kofu, Kofu, Japon"
1774,extr3me_84,3.0,"ANA Crowne Plaza Kobe, Kobé, Japon"
1775,extr3me_84,2.0,"Toyoko Inn Tokyo Asakusa Senzoku Tsukuba Express, Taito, Japon"
1802,Jaqen,5.0,"Hyatt Regency Osaka, Osaka, Japon"
1803,Jaqen,4.0,"Hotel Resol Sapporo Nakajima Koen, Sapporo, Japon"
1804,Jaqen,4.0,"Royal Park Hotel, Chuo, Japon"
1827,CallumLondon,4.0,"APA Hotel Shinjuku Gyoemmae, Shinjuku, Japon"
1849,janetg2013,5.0,"Hyatt Regency Tokyo, Nishishinjuku, Japon"
1864,Richards_remarks,5.0,"Benesse House, Naoshima, Japon"
1870,omsab,5.0,"Mercure Tokyo Ginza, Ginza, Japon"
1871,omsab,4.0,"Holiday Inn Osaka Namba, Chuo, Japon"
1878,g0yg,4.0,"ANA InterContinental Tokyo, Akasaka, Japon"
1879,g0yg,4.0,"The Royal Park Hotel Kyoto Sanjo, Kyoto, Japon"
1895,Liteh,5.0,"Citadines Shinjuku Tokyo, Shinjuku, Japon"
1908,Scottr1984,5.0,"Citadines Central Shinjuku Tokyo, Kabukicho, Japon"
1909,Scottr1984,5.0,"Hotel Sunroute Plaza Shinjuku, Yoyogi, Japon"
1910,Scottr1984,4.0,"Karuizawa Prince Hotel West, Karuizawa-machi, Japon"
1952,JapanPhotoGuide,4.0,"Hotel The Celestine Tokyo Shiba, Minato, Japon"
1953,JapanPhotoGuide,5.0,"Kurayado Iroha, Hatsukaichi, Japon"
1954,JapanPhotoGuide,5.0,"ANA Crowne Plaza Okayama, Okayama, Japon"
1955,JapanPhotoGuide,4.0,"Hyatt Regency Tokyo, Nishishinjuku, Japon"
1956,JapanPhotoGuide,5.0,"Hotel Trusty Kanazawa Korinbou, Kanazawa, Japon"
1957,JapanPhotoGuide,5.0,"Andaz Tokyo Toranomon Hills, Toranomon, Japon"
1958,JapanPhotoGuide,4.0,"The Strings by InterContinental Tokyo, Minato, Japon"
1959,JapanPhotoGuide,3.0,"Musashi, Shirahama-cho, Japon"
1960,JapanPhotoGuide,4.0,"Hotel & Resorts WAKAYAMA-KUSHIMOTO, Kushimoto-cho, Japon"
1961,JapanPhotoGuide,4.0,"Hotel MyStays Kyoto Shijo, Kyoto, Japon"
1962,JapanPhotoGuide,4.0,"Kitakobushi Shiretoko Hotel & Resort, Shari-cho, Japon"
1963,JapanPhotoGuide,3.0,"Sounkyo Choyotei, Kamikawa-cho, Japon"
1964,JapanPhotoGuide,4.0,"Yumiharinooka Hotel, Sasebo, Japon"
1965,JapanPhotoGuide,4.0,"Hotel & Resorts SAGA-KARATSU, Karatsu, Japon"
1966,JapanPhotoGuide,4.0,"Hotel JAL City Haneda Tokyo, Ota, Japon"
1998,Joy85,5.0,"Tokyu Stay Kyoto Shin-Kyogoku-Dori, Kyoto, Japon"
1999,Joy85,5.0,"Hiyori Hotel Osaka Namba, Osaka, Japon"
2001,Joy85,5.0,"Naha Tokyu REI Hotel, Naha, Japon"
2030,801ChrisJ,4.0,"Millennium Mitsui Garden Hotel Tokyo, Ginza, Japon"
2032,801ChrisJ,4.0,"Mercure Tokyo Ginza, Ginza, Japon"
2037,hippodreams,5.0,"Hotel Granvia Kyoto, Kyoto, Japon"
2043,hippodreams,4.0,"Hotel Sunroute Plaza Shinjuku, Yoyogi, Japon"
2046,hippodreams,5.0,"Hotel Granvia Kyoto, Kyoto, Japon"
2047,hippodreams,4.0,"Hotel Granvia Hiroshima, Hiroshima, Japon"
2048,hippodreams,5.0,"Hilton Osaka, Osaka, Japon"
2049,hippodreams,4.0,"Highland Resort Hotel & Spa, Fujiyoshida, Japon"
2050,hippodreams,4.0,"Narita Tobu Hotel Airport, Narita, Japon"
2071,michaelc679,4.0,"Hotel Sakaeya, Rausu-cho, Japon"
2072,michaelc679,5.0,"Hickory Wind, Tsurui-mura, Japon"
2073,michaelc679,4.0,"Citadines Namba Osaka, Osaka, Japon"
2078,papachongo74,4.0,"Hotel Kyoto Eminence, Kyoto, Japon"
2079,papachongo74,4.0,"Dormy Inn Wakkanai, Wakkanai, Japon"
2080,papachongo74,4.0,"Estinate Hotel, Naha, Japon"
2082,papachongo74,3.0,"Toyoko Inn Kofu-eki Minami-guchi No.1, Kofu, Japon"
2083,papachongo74,4.0,"Pension Lavender, Furano, Japon"
2084,papachongo74,4.0,"Hotel Relief Sapporo Susukino, Sapporo, Japon"
2085,papachongo74,3.0,"Sendai Kokusai Hotel, Sendai, Japon"
2086,papachongo74,4.0,"Richmond Hotel Utsunomiya Ekimae, Utsunomiya, Japon"
2087,papachongo74,3.0,"Kurayoshi City Hotel, Kurayoshi, Japon"
2088,papachongo74,4.0,"Hotel Bellmare, Maizuru, Japon"
2089,papachongo74,3.0,"Hotel New Station, Matsumoto, Japon"
2090,papachongo74,1.0,"Hotel Nagano Avenue, Nagano, Japon"
2091,papachongo74,3.0,"Hotel Tetora, Hakodaté, Japon"
2092,papachongo74,3.0,"Super Hotel Yamagataeki Nishiguchi Hot Spring, Yamagata, Japon"
2093,papachongo74,4.0,"Hotel Elcient Kyoto, Kyoto, Japon"
2094,papachongo74,3.0,"Hotel Piazza Biwako, Otsu, Japon"
2102,chungkk,4.0,"JR Inn Sapporo South, Sapporo, Japon"
2104,chungkk,4.0,"Kinnotake Tonosawa, Hakone-machi, Japon"
2105,chungkk,4.0,"Citadines Shinjuku Tokyo, Shinjuku, Japon"
2106,chungkk,4.0,"Mitsui Garden Hotel Kyobashi, Chuo, Japon"
2121,Tablepourdeux,4.0,"The Westin Osaka, Osaka, Japon"
2122,Tablepourdeux,5.0,"Hotel Century Southern Tower, Yoyogi, Japon"
2123,Tablepourdeux,5.0,"The Thousand Kyoto, Kyoto, Japon"
2128,GoTravelLife,5.0,"Conrad Tokyo, Minato, Japon"
2144,EMcCScotland,4.0,"Hotel Sunroute Plaza Shinjuku, Yoyogi, Japon"
2145,EMcCScotland,4.0,"Citadines Karasuma-Gojo Kyoto, Kyoto, Japon"
2161,BajanFan,5.0,"Hotel Century Southern Tower, Yoyogi, Japon"
2162,BajanFan,5.0,"ANA Crowne Plaza Kyoto, Kyoto, Japon"
2216,W00Boo,2.0,"Kazumi, Toba, Japon"
2217,W00Boo,4.0,"Shinzansou, Takayama, Japon"
2218,W00Boo,4.0,"Hida Hotel Plaza, Takayama, Japon"
2219,W00Boo,5.0,"Asanoya, Shinonsen-cho, Japon"
2220,W00Boo,4.0,"Kamiobo, Kobé, Japon"
2221,W00Boo,5.0,"Yamaguchi Grand Hotel, Yamaguchi, Japon"
2225,W00Boo,1.0,"Hotel Juraku, Chiyoda, Japon"
2226,W00Boo,4.0,"Hotel Rose Garden Shinjuku, Nishishinjuku, Japon"
2237,Keithfrs,5.0,"Miyajima Grand Hotel Arimoto, Hatsukaichi, Japon"
2238,Keithfrs,5.0,"Hotel Brighton City Osaka Kitahama, Chuo, Japon"
2239,Keithfrs,3.0,"Hotel Consort Shin-Osaka, Osaka, Japon"
2240,Keithfrs,5.0,"Ours Inn Hankyu, Shinagawa, Japon"
2282,Carrie_travelaround,5.0,"The Strings by InterContinental Tokyo, Minato, Japon"
2304,Wolfgang_FFM,3.0,"Sheraton Miyako Hotel Tokyo, Shirokanedai, Japon"
2305,Wolfgang_FFM,4.0,"Tokyo Marriott Hotel, Shinagawa, Japon"
2309,wandererc2014,4.0,"Hotel Metropolitan Saitama-Shintoshin, Saitama, Japon"
2310,wandererc2014,4.0,"Sotetsu Grand Fresa Osaka-Namba, Nippombashi, Japon"
2311,wandererc2014,4.0,"Mitsui Garden Hotel Okayama, Okayama, Japon"
2313,wandererc2014,4.0,"Hotel East 21 Tokyo, Koto, Japon"
2314,wandererc2014,2.0,"Hotel Century Southern Tower, Yoyogi, Japon"
2315,wandererc2014,4.0,"ibis Tokyo Shinjuku, Nishishinjuku, Japon"
2316,wandererc2014,4.0,"Osaka Marriott Miyako Hotel, Osaka, Japon"
2321,clco,4.0,"Shinagawa Prince Hotel, Takanawa, Japon"
2333,Deac83,4.0,"Hyatt Regency Tokyo, Nishishinjuku, Japon"
2334,Deac83,5.0,"The Westin Osaka, Osaka, Japon"
2462,espengc,5.0,"Citadines Central Shinjuku Tokyo, Kabukicho, Japon"
2471,cbed90,5.0,"Hilton Tokyo, Nishishinjuku, Japon"
2483,LoyaltyLobby,2.0,"ANA Intercontinental Ishigaki Resort, Ishigaki-jima, Japon"
2484,LoyaltyLobby,3.0,"Hyatt Centric Kanazawa, Kanazawa, Japon"
2485,LoyaltyLobby,4.0,"Hyatt House Kanazawa, Kanazawa, Japon"
2486,LoyaltyLobby,2.0,"Hyatt Regency Hakone Resort and Spa, Hakone-machi, Japon"
2487,LoyaltyLobby,2.0,"ANA InterContinental Beppu Resort & Spa, Beppu, Japon"
2488,LoyaltyLobby,2.0,"Crowne Plaza ANA Nagasaki Gloverhill, Nagasaki, Japon"
2489,LoyaltyLobby,4.0,"Sheraton Grand Hiroshima Hotel, Hiroshima, Japon"
2490,LoyaltyLobby,4.0,"Hyatt Regency Naha, Okinawa, Naha, Japon"
2491,LoyaltyLobby,4.0,"Park Hyatt Niseko Hanazono, Niseko-cho, Japon"
2492,LoyaltyLobby,3.0,"Hilton Fukuoka Sea Hawk, Chuo, Japon"
2515,plume28,4.0,"The Royal Park Hotel Kyoto Sanjo, Kyoto, Japon"
2516,plume28,4.0,"Kurashiki Royal Art Hotel, Kurashiki, Japon"
2517,plume28,4.0,"Jr Hotel Clement Takamatsu, Takamatsu, Japon"
2518,plume28,3.0,"ANA Crowne Plaza Hiroshima, Hiroshima, Japon"
2519,plume28,4.0,"ANA Crowne Plaza Hotel Kanazawa, Kanazawa, Japon"
2520,plume28,4.0,"Hida Hotel Plaza, Takayama, Japon"
2521,plume28,5.0,"Taikanso, Atami, Japon"
2522,plume28,4.0,"The Royal Park Hotel Iconic Tokyo Shiodome, Minato, Japon"
2541,ppris,5.0,"Hotel Century Southern Tower, Yoyogi, Japon"
2565,akiraoz,5.0,"Park Hyatt Tokyo, Nishishinjuku, Japon"
2598,pollyoppy,5.0,"Romantopia, A Landscape of Forest and Stars, Hirosaki, Japon"
2646,aadroit,1.0,"Sotetsu Grand Fresa Osaka-Namba, Nippombashi, Japon"
2647,aadroit,5.0,"Hilton Tokyo, Nishishinjuku, Japon"
2690,rdmev,4.0,"Mercure Tokyo Ginza, Ginza, Japon"
2717,TheAlphaTourist,5.0,"Hotel Century Southern Tower, Yoyogi, Japon"
2718,TheAlphaTourist,4.0,"The Royal Park Hotel Kyoto Sanjo, Kyoto, Japon"
2719,TheAlphaTourist,4.0,"Cross Hotel Osaka, Chuo, Japon"
2721,JornBerg,5.0,"Mitsui Garden Hotel Ginza Gochome, Ginza, Japon"
2727,JuneLow,5.0,"Oyado Yamakyu, Takayama, Japon"
2728,JuneLow,4.0,"Hotel Resol Trinity Kanazawa, Kanazawa, Japon"
2729,JuneLow,5.0,"Chubu International Airport Centrair Hotel, Tokoname, Japon"
2732,JuneLow,4.0,"Tokyo Plaza Hotel, Shinjuku, Japon"
2733,JuneLow,4.0,"Chisun Inn Karuizawa, Karuizawa-machi, Japon"
2734,JuneLow,4.0,"Citadines Shinjuku Tokyo, Shinjuku, Japon"
2739,ccfchew_23,4.0,"Hotel Vischio Osaka by Granvia, Osaka, Japon"
2768,TenryAriny,4.0,"Ibis Styles Sapporo, Sapporo, Japon"
2769,TenryAriny,5.0,"Richmond Hotel Premier Tokyo Oshiage, Oshiage, Japon"
2775,cruisr,4.0,"Hyatt Regency Kyoto, Kyoto, Japon"
2776,cruisr,5.0,"ANA Holiday Inn Kanazawa Sky, Kanazawa, Japon"
2814,Lillymungkorn,5.0,"The Yokohama Bay Hotel Tokyu, Minatomirai, Japon"
2815,Lillymungkorn,5.0,"Solaria nishitetsu hotel Ginza, Ginza, Japon"
2816,Lillymungkorn,5.0,"Oakwood Premier Tokyo, Marunouchi, Japon"
2842,salohcini,5.0,"Hotel Sunroute Plaza Shinjuku, Yoyogi, Japon"
2879,Richards_remarks,5.0,"Benesse House, Naoshima, Japon"
2893,davidsY8473EV,4.0,"Via Inn Nagoya Ekimae Tsubakicho, Nagoya, Japon"
2894,davidsY8473EV,4.0,"Ibis Styles Kyoto Station, Kyoto, Japon"
2895,davidsY8473EV,4.0,"Tobu Hotel Levant Tokyo, Sumida, Japon"
2896,davidsY8473EV,5.0,"Hotel Nikko Kansai Airport, Izumisano, Japon"
2906,Fredlm75020,5.0,"Cross Hotel Kyoto, Kyoto, Japon"
2907,Fredlm75020,4.0,"Keio Plaza Hotel Tokyo, Nishishinjuku, Japon"
2914,CBangkok,5.0,"Swissotel Nankai Osaka, Namba, Japon"
2915,CBangkok,4.0,"Hotel Sunroute Plaza Shinjuku, Yoyogi, Japon"
2917,CBangkok,5.0,"Swissotel Nankai Osaka, Namba, Japon"
2918,CBangkok,5.0,"Cross Hotel Sapporo, Sapporo, Japon"
2919,CBangkok,5.0,"Fuji Lake Hotel, Fujikawaguchiko-machi, Japon"
2920,CBangkok,4.0,"Hotel Trusty Nagoya Sakae, Naka, Japon"
2926,Seohyun,4.0,"Park Hotel Tokyo, Minato, Japon"
3042,extr3me_84,3.0,"ANA Crowne Plaza Kobe, Kobé, Japon"
3043,extr3me_84,2.0,"Toyoko Inn Tokyo Asakusa Senzoku Tsukuba Express, Taito, Japon"
3058,Strabo,4.0,"Citadines Central Shinjuku Tokyo, Kabukicho, Japon"
3059,Strabo,3.0,"Nikko station hotel classic, Nikko, Japon"
3070,sharonleesm,5.0,"Hakone Suimeisou, Hakone-machi, Japon"
3071,sharonleesm,4.0,"Shinjuku Prince Hotel, Kabukicho, Japon"
3072,Stanislaw1972,2.0,"Best Western Hotel Fino Osaka Shinsaibashi, Chuo, Japon"
3096,JapanCustomToursNZ,5.0,"Kamesei Ryokan, Chikuma, Japon"
3097,JapanCustomToursNZ,5.0,"Sakura Terrace, Kyoto, Japon"
3098,JapanCustomToursNZ,5.0,"The Westin Sendai, Sendai, Japon"
3099,JapanCustomToursNZ,5.0,"Sheraton Grand Hiroshima Hotel, Hiroshima, Japon"
3100,JapanCustomToursNZ,4.0,"Akasaka Excel Hotel Tokyu, Chiyoda, Japon"
3101,JapanCustomToursNZ,4.0,"Kyoto Century Hotel, Kyoto, Japon"
3102,JapanCustomToursNZ,5.0,"Ryokan Asunaro, Takayama, Japon"
3103,JapanCustomToursNZ,4.0,"Kanazawa Tokyu Hotel, Kanazawa, Japon"
3104,JapanCustomToursNZ,4.0,"Hotel Monterey Akasaka, Akasaka, Japon"
3105,JapanCustomToursNZ,5.0,"Cerulean Tower Tokyu Hotel, Shibuya, Japon"
3106,JapanCustomToursNZ,5.0,"Matsubaya Ryokan, Kyoto, Japon"
3107,JapanCustomToursNZ,4.0,"Tokyo Daiichi Hotel Nishiki, Naka, Japon"
3108,American_bullit,4.0,"Kyoto Granbell Hotel, Kyoto, Japon"
3119,MassiG,4.0,"Shibuya Stream Excel Hotel Tokyu, Shibuya, Japon"
3147,Lau_traveller,4.0,"Hilton Niseko Village, Niseko-cho, Japon"
3148,Lau_traveller,4.0,"Pension Landscape Furano, Kamifurano-cho, Japon"
3149,Lau_traveller,4.0,"Grand Park Otaru, Otaru, Japon"
3166,EMcCScotland,4.0,"Hotel Sunroute Plaza Shinjuku, Yoyogi, Japon"
3167,EMcCScotland,4.0,"Citadines Karasuma-Gojo Kyoto, Kyoto, Japon"
3181,erical2013,5.0,"APA Hotel Keisei Ueno Ekimae, Ueno, Japon"
3183,erical2013,4.0,"Hotel Mystays Ueno Iriyaguchi, Taito, Japon"
3184,ATL720,5.0,"Conrad Tokyo, Minato, Japon"
3189,ShaneHLittle,5.0,"Conrad Osaka, Osaka, Japon"
3232,PadresDiego,5.0,"Park Hotel Tokyo, Minato, Japon"
3254,nycbee,4.0,"Remm Tokyo Kyobashi, Chuo, Japon"
3256,nycbee,2.0,"Pioland Hotel, Saitama, Japon"
3259,nycbee,2.0,"HOTEL MYSTAYS PREMIER Narita, Narita, Japon"
3260,nycbee,5.0,"Hotel Vista Hiroshima, Hiroshima, Japon"
3270,seanseungw0nj,5.0,"Hotel Keihan Universal Tower, Osaka, Japon"
3271,seanseungw0nj,5.0,"Bay Resort Hotel Shodoshima, Shodo-shima, Japon"
3272,seanseungw0nj,3.0,"The Hotel Nagasaki BW Premier Collection, Nagasaki, Japon"
3330,JornBerg,5.0,"Mitsui Garden Hotel Ginza Gochome, Ginza, Japon"
3361,Michaelhercules,4.0,"Kamogawa Grand Tower, Kamogawa, Japon"
3364,Michaelhercules,5.0,"Andaz Tokyo Toranomon Hills, Toranomon, Japon"
3366,Michaelhercules,5.0,"Hyatt Regency Osaka, Osaka, Japon"
